Rank,Name,Price,One_hour_change,Twenty_four_hour_change,Seven_day_change,Market_cap,Hr_volume,Circulating_supply
613,THENATHEBuy,$0.2293,0.90%,2.84%,7.51%,"$28.14M$28,135,196","$7,147,08131.12M",122.65M THE
614,Folks FinanceFOLKSBuy,$2.30,0.58%,5.44%,31.80%,"$28.1M$28,099,377","$3,451,0571.49M",12.19M FOLKS
615,Osaka ProtocolOSAKBuy,$0.073691,3.11%,0.45%,22.36%,"$27.72M$27,720,800","$28,802780.15B",750.86T OSAK
616,AdsharesADSBuy,$0.7128,0.37%,0.63%,5.31%,"$27.61M$27,608,930","$1,851,7662.59M",38.72M ADS
617,Lorenzo ProtocolBANKBuy,$0.05229,1.14%,2.21%,7.63%,"$27.55M$27,549,778","$4,744,49690.72M",526.8M BANK
618,Electronic USDeUSDBuy,$0.9993,0.08%,0.00%,0.00%,"$27.48M$27,476,277","$606,418606.82K",27.49M eUSD
619,SPDR S&P 500 Tokenized ETF (Ondo)SPYonBuy,$692.87,0.02%,1.46%,0.59%,"$27.35M$27,351,063","$3,215,9954.64K",39.47K SPYon
620,DelysiumAGIBuy,$0.01645,1.03%,3.47%,7.32%,"$27.34M$27,341,610","$3,167,625192.44M",1.66B AGI
621,DymensionDYMBuy,$0.06077,0.31%,0.93%,8.93%,"$27.3M$27,304,203","$2,503,06741.18M",449.26M DYM
622,ChainGPTCGPTBuy,$0.03108,1.10%,1.22%,8.53%,"$27.24M$27,243,934","$4,999,454160.49M",876.46M CGPT
623,Owlto FinanceOWLBuy,$0.08265,0.17%,1.89%,17.41%,"$27.28M$27,277,317","$1,186,873,61314.37B",330M OWL
624,Sonic SVMSONICBuy,$0.05950,0.29%,0.08%,17.89%,"$27.24M$27,241,583","$28,747,297483.12M",457.79M SONIC
625,PepecoinPEPBuy,$0.0002672,0.01%,1.87%,20.07%,"$27.07M$27,066,681","$97,363362.35M",101.28B PEP
626,HyperlaneHYPERBuy,$0.1195,0.64%,0.56%,8.79%,"$27.15M$27,145,329","$5,269,53443.97M",227.1M HYPER
627,Global Commercial BusinessGCBBuy,$0.02262,0.01%,0.61%,5.34%,"$27.2M$27,197,516","$2,05790.90K",1.2B GCB
628,OrderlyORDERBuy,$0.07481,1.16%,0.50%,18.44%,"$27.16M$27,161,018","$5,087,47367.96M",363.05M ORDER
629,Holoworld AIHOLOBuy,$0.06647,1.03%,0.42%,12.12%,"$26.98M$26,977,912","$10,621,121159.12M",405.81M HOLO
630,MiraMIRABuy,$0.1205,0.70%,0.48%,11.62%,"$27M$26,999,240","$5,728,79147.49M",223.91M MIRA
631,PixelsPIXELBuy,$0.008434,0.93%,0.73%,9.68%,"$26.88M$26,883,991","$8,069,420955.25M",3.18B PIXEL
632,DecimalDELBuy,$0.002406,0.02%,3.43%,8.20%,"$26.76M$26,762,267","$374,636155.68M",11.12B DEL
633,AcurastACUBuy,$0.1203,1.62%,9.40%,32.34%,"$26.11M$26,111,450","$39,575,695321.23M",217M ACU
634,Wilder WorldWILDBuy,$0.05571,0.51%,3.70%,15.57%,"$26.7M$26,700,778","$429,7417.70M",479.22M WILD
635,BonfidaFIDABuy,$0.02660,1.93%,5.41%,22.66%,"$26.36M$26,361,735","$6,466,591242.10M",990.91M FIDA
636,B3 (Base)B3Buy,$0.0008274,0.89%,0.42%,13.13%,"$26.4M$26,404,371","$1,773,4522.13B",31.9B B3
637,Vine CoinVINEBuy,$0.02627,0.98%,3.65%,8.69%,"$26.28M$26,277,901","$4,873,569185.24M",999.99M VINE
638,Faith TribeFTRBBuy,$0.008168,0.50%,2.83%,4.34%,"$26.21M$26,210,274","$764,57793.69M",3.2B FTRB
639,VelvetVELVETBuy,$0.1385,0.05%,2.85%,6.77%,"$26.16M$26,159,052","$7,222,58652.11M",188.77M VELVET
640,DORADORABuy,$0.02638,0.01%,6.14%,8.54%,"$26.12M$26,119,763","$203,3857.70M",990.08M DORA
641,Swarm NetworkTRUTHBuy,$0.01251,0.13%,6.59%,5.91%,"$26.09M$26,092,114","$4,124,834330.26M",2.08B TRUTH
642,Everlyn AILYNBuy,$0.1016,0.19%,3.66%,37.64%,"$25.97M$25,973,149","$4,721,58146.42M",255.63M LYN
643,sUSDSUSDBuy,$0.7745,0.04%,1.85%,4.97%,"$25.98M$25,977,644","$156,398201.91K",33.53M SUSD
644,BraintrustBTRSTBuy,$0.1076,0.60%,4.30%,8.11%,"$25.99M$25,988,604","$69,889650.72K",241.34M BTRST
645,MAP ProtocolMAPOBuy,$0.004177,0.05%,0.47%,8.02%,"$25.81M$25,805,685","$663,087158.65M",6.17B MAPO
646,Pocket NetworkPOKTBuy,$0.01129,0.12%,0.13%,11.60%,"$25.71M$25,705,737","$744,29765.76M",2.27B POKT
647,WINkLinkWINBuy,$0.00002583,0.56%,0.14%,7.33%,"$25.67M$25,668,279","$6,883,355266.39B",993.7B WIN
648,CoreumCOREUMBuy,$0.06644,2.19%,13.38%,13.97%,"$25.57M$25,566,906","$516,2457.75M",384.79M COREUM
649,SuperWalkGRNDBuy,$0.03555,0.10%,0.34%,0.23%,"$25.53M$25,531,411","$119,4133.37M",718.15M GRND
650,Echelon PrimePRIMEBuy,$0.7059,0.26%,0.25%,5.35%,"$25.25M$25,254,079","$7,846,31611.14M",35.77M PRIME
651,Wirex TokenWXTBuy,$0.002497,0.18%,2.07%,0.91%,"$24.98M$24,976,082","$326,550129.72M",10B WXT
652,Titan's TapTITBuy,$0.0008172,0.38%,0.07%,29.42%,"$25.08M$25,080,043","$60,57173.84M",30.68B TIT
653,DefinitiveEDGEBuy,$0.1233,0.50%,0.52%,16.51%,"$25.04M$25,042,228","$947,6577.66M",203.02M EDGE
654,Baby Shark UniverseBSUBuy,$0.1487,0.90%,1.29%,0.07%,"$24.99M$24,994,187","$54,394,568365.29M",168M BSU
655,MetaMask USDmUSDBuy,$0.9997,0.00%,0.00%,0.01%,"$24.98M$24,979,290","$7,035,0127.03M",24.98M mUSD
656,Isiklar CoinISIKCBuy,$0.2477,0.10%,0.07%,0.05%,"$24.78M$24,777,273","$453,3671.82M",100M ISIKC
657,Adventure GoldAGLDBuy,$0.2853,0.04%,6.07%,0.40%,"$24.72M$24,715,760","$12,835,10844.95M",86.61M AGLD
658,PonkePONKEBuy,$0.04445,1.32%,1.02%,18.23%,"$24.7M$24,696,040","$5,759,074129.83M",555.54M PONKE
659,HumidifiWETBuy,$0.1064,1.01%,2.97%,18.11%,"$24.48M$24,483,713","$12,352,566115.70M",230M WET
660,Ampleforth Governance TokenFORTHBuy,$1.70,0.86%,0.19%,0.87%,"$24.41M$24,408,339","$2,003,0641.17M",14.34M FORTH
661,SymbolXYMBuy,$0.003840,0.05%,0.55%,15.56%,"$24.37M$24,372,123","$117,92230.71M",6.34B XYM
662,Realio NetworkRIOBuy,$0.1649,0.65%,1.98%,0.89%,"$24.32M$24,319,696","$1,154,7567.00M",147.47M RIO
663,ClearpoolCPOOLBuy,$0.02691,0.08%,2.42%,13.45%,"$24.32M$24,319,763","$1,639,57360.94M",903.58M CPOOL
664,MoonriverMOVRBuy,$2.29,0.62%,0.41%,10.38%,"$24.27M$24,269,255","$2,427,3231.05M",10.58M MOVR
665,AriaAIARIABuy,$0.08621,1.17%,2.24%,14.79%,"$24.23M$24,229,987","$2,534,89729.39M",281.05M ARIA
666,IAGONIAGBuy,$0.06426,0.19%,1.69%,11.77%,"$24.17M$24,166,511","$159,6472.48M",376.02M IAG
667,ANyONe ProtocolANYONEBuy,$0.2469,0.44%,4.80%,7.34%,"$24.08M$24,075,018","$1,881,8067.60M",97.49M ANYONE
668,AVA (Travala)AVABuy,$0.3369,0.78%,0.05%,0.57%,"$23.95M$23,945,132","$5,430,15416.11M",71.05M AVA
669,Banana GunBANANABuy,$5.95,0.88%,0.68%,19.54%,"$23.88M$23,875,521","$5,824,116976.42K",4M BANANA
670,Lucidum CoinLUCICBuy,$0.1441,0.28%,0.45%,15.83%,"$23.66M$23,663,310","$63,987442.26K",164.1M LUCIC
671,OhoOHOBuy,$0.0009827,0.27%,1.31%,6.47%,"$23.71M$23,708,147","$186,828190.36M",24.12B OHO
672,Gains NetworkGNSBuy,$0.9182,0.23%,1.11%,4.73%,"$23.74M$23,738,074","$3,410,3943.72M",25.85M GNS
673,ElectroneumETNBuy,$0.001313,1.95%,1.32%,3.25%,"$23.63M$23,625,095","$370,694282.41M",17.97B ETN
674,Locus ChainLOCUSBuy,$0.01133,0.04%,3.42%,18.01%,"$23.59M$23,587,328","$147,01712.96M",2.08B LOCUS
675,Invesco QQQ Tokenized ETF (Ondo)QQQonBuy,$622.44,0.02%,1.76%,0.59%,"$23.53M$23,534,242","$4,821,6267.74K",37.8K QQQon
676,zkPassZKPBuy,$0.1157,2.05%,3.30%,8.19%,"$23.34M$23,336,179","$27,987,424240.08M",201.66M ZKP
677,SophonSOPHBuy,$0.01170,0.72%,2.01%,11.43%,"$23.41M$23,412,761","$30,921,3372.63B",2B SOPH
678,BoundlessZKCBuy,$0.1022,1.69%,2.78%,8.75%,"$23.31M$23,305,179","$15,777,854153.67M",227.97M ZKC
679,DolomiteDOLOBuy,$0.05288,1.16%,0.22%,22.77%,"$23.36M$23,356,543","$10,649,837201.12M",441.62M DOLO
680,AvailAVAILBuy,$0.006339,0.92%,6.52%,9.27%,"$23.23M$23,227,133","$2,842,987447.77M",3.66B AVAIL
681,MoonbeamGLMRBuy,$0.02231,0.29%,0.75%,3.69%,"$23.24M$23,240,097","$2,414,342108.11M",1.04B GLMR
682,NYMNYMBuy,$0.02827,0.90%,0.42%,15.05%,"$23.34M$23,336,770","$2,145,85276.36M",825.4M NYM
683,JOEJOEBuy,$0.05726,1.03%,1.29%,7.63%,"$23.11M$23,108,721","$2,238,94139.03M",403.57M JOE
684,CatizenCATIBuy,$0.05913,0.13%,0.24%,1.18%,"$23.12M$23,115,387","$4,659,88978.79M",390.86M CATI
685,WalletConnect TokenWCTBuy,$0.07215,1.05%,1.76%,7.08%,"$23.04M$23,044,923","$11,786,752163.05M",319.35M WCT
686,DegenDEGENBuy,$0.001097,0.79%,0.84%,18.01%,"$23.06M$23,058,933","$3,492,7323.18B",21.01B DEGEN
687,NVIDIA tokenized stock (xStock)NVDAXBuy,$184.53,0.23%,1.92%,2.22%,"$23.06M$23,057,711","$20,863,438113.08K",124.95K NVDAX
688,Lava NetworkLAVABuy,$0.08638,0.09%,0.34%,9.39%,"$22.85M$22,849,846","$2,097,21824.24M",264.5M LAVA
689,Gods UnchainedGODSBuy,$0.05514,1.12%,5.50%,5.22%,"$22.85M$22,850,754","$700,43012.75M",414.37M GODS
690,ARPAARPABuy,$0.01488,0.55%,10.05%,17.32%,"$22.61M$22,611,668","$37,092,9772.48B",1.51B ARPA
691,STBLSTBLBuy,$0.04488,1.37%,3.23%,17.44%,"$22.44M$22,440,263","$5,101,235113.34M",500M STBL
692,ArcBlockABTBuy,$0.2282,0.08%,8.05%,13.39%,"$22.49M$22,493,831","$800,0293.51M",98.55M ABT
693,WayfinderPROMPTBuy,$0.05504,0.09%,1.94%,11.94%,"$22.36M$22,361,792","$6,562,121118.98M",406.28M PROMPT
694,MovieBlocMBLBuy,$0.001172,0.48%,0.91%,5.05%,"$22.29M$22,290,068","$2,599,2122.21B",19B MBL
695,Comtech GoldCGOBuy,$157.77,0.19%,1.48%,6.16%,"$22.25M$22,246,752","$1,018,1066.43K",141K CGO
696,Coin98C98Buy,$0.02221,0.86%,0.80%,6.86%,"$22.21M$22,214,907","$4,949,332222.86M",999.99M C98
697,BENQIQIBuy,$0.003087,0.48%,0.67%,7.64%,"$22.23M$22,227,026","$766,649248.84M",7.2B QI
698,StrikeXSTRXBuy,$0.02534,0.11%,5.85%,9.68%,"$22.12M$22,121,495","$39,6161.56M",872.68M STRX
699,MetaplexMPLXBuy,$0.04218,0.39%,4.93%,15.31%,"$22.11M$22,114,559","$3,132,42474.23M",524.21M MPLX
700,OrchidOXTBuy,$0.02189,0.69%,0.19%,9.85%,"$21.83M$21,832,330","$1,434,56165.36M",997.21M OXT
701,Artificial Liquid IntelligenceALIBuy,$0.002397,0.00%,0.26%,22.14%,"$21.86M$21,864,563","$132,76455.36M",9.11B ALI
702,iShares Core S&P 500 Tokenized ETF (Ondo)IVVonBuy,$696.71,0.05%,1.48%,0.59%,"$21.86M$21,856,441","$5,2177.48",31.37K IVVon
703,Act I : The AI ProphecyACTBuy,$0.02296,1.07%,0.59%,7.46%,"$21.78M$21,780,274","$16,652,689725.00M",948.24M ACT
704,XphereXPBuy,$0.008834,0.02%,3.00%,12.62%,"$21.68M$21,678,145","$575,28065.11M",2.45B XP
705,YieldBasisYBBuy,$0.2456,1.00%,0.50%,33.69%,"$21.59M$21,593,910","$7,115,89928.97M",87.91M YB
706,NillionNILBuy,$0.07332,1.49%,9.40%,4.23%,"$21.47M$21,469,206","$4,983,42067.96M",292.78M NIL
707,Cetus ProtocolCETUSBuy,$0.02384,0.57%,0.32%,10.84%,"$21.39M$21,388,373","$4,858,030203.76M",897.1M CETUS
708,FusionistACEBuy,$0.2456,1.04%,1.07%,5.78%,"$21.39M$21,385,721","$8,591,94734.97M",87.04M ACE
709,AuraAURABuy,$0.02212,0.90%,10.06%,19.99%,"$21.31M$21,314,630","$1,661,19275.07M",963.28M AURA
710,Polyhedra NetworkZKJBuy,$0.03673,0.08%,1.21%,8.52%,"$21.3M$21,304,368","$2,687,42773.14M",579.88M ZKJ
711,ChainbaseCBuy,$0.06893,0.78%,1.86%,12.97%,"$21.15M$21,153,810","$3,025,17043.88M",306.85M C
712,OpenServSERVBuy,$0.02811,7.19%,30.96%,12.90%,"$21.08M$21,083,563","$1,740,70061.92M",750M SERV
713,Circle tokenized stock (xStock)CRCLXBuy,$71.29,1.07%,0.38%,11.91%,"$21M$21,002,492","$20,736,170290.86K",294.59K CRCLX
714,Simon's CatCATBuy,$0.052771,0.50%,1.14%,6.73%,"$20.97M$20,969,062","$6,053,7352.18T",7.56T CAT
715,SuperRareRAREBuy,$0.02540,0.57%,6.74%,12.70%,"$20.95M$20,953,485","$11,230,930442.08M",824.8M RARE
716,Maverick ProtocolMAVBuy,$0.02481,0.43%,1.92%,3.72%,"$20.92M$20,921,085","$3,150,021126.92M",842.95M MAV
717,TARS AITAIBuy,$0.02344,1.86%,6.48%,19.36%,"$20.92M$20,917,738","$1,295,16255.24M",892.18M TAI
718,MangoMNGOBuy,$0.01861,0.02%,2.61%,4.27%,"$20.8M$20,800,135","$6,182332.13K",1.11B MNGO
719,ZEROBASEZBTBuy,$0.09440,1.08%,0.70%,14.65%,"$20.77M$20,768,469","$11,882,224125.86M",220M ZBT
720,DOGSDOGSBuy,$0.00004018,1.07%,1.03%,10.49%,"$20.76M$20,763,337","$6,719,385167.22B",516.75B DOGS
721,OWBOWBBuy,$0.04553,1.21%,5.74%,55.50%,"$20.73M$20,726,273","$461,91910.14M",455.13M OWB
722,雪球雪球Buy,$0.03324,1.87%,17.03%,34.67%,"$20.72M$20,715,759","$4,182,205125.81M",623.19M 雪球
723,Energy Web TokenEWTBuy,$0.6889,0.14%,2.33%,12.84%,"$20.71M$20,710,187","$412,339598.53K",30.06M EWT
724,CoinEx TokenCETBuy,$0.02902,0.06%,0.48%,14.78%,"$20.57M$20,569,058","$51,5391.77M",708.63M CET
725,Vulcan Forged (PYR)PYRBuy,$0.4571,0.20%,0.45%,6.74%,"$20.54M$20,544,038","$3,392,6987.42M",44.94M PYR
726,MAX Exchange TokenMAXBuy,$0.3211,0.29%,0.41%,0.41%,"$20.53M$20,532,692","$16,11150.16K",63.93M MAX
727,SynFuturesFBuy,$0.006124,0.72%,1.00%,8.60%,"$20.23M$20,226,296","$3,716,224606.77M",3.3B F
728,JanctionJCTBuy,$0.001755,0.20%,3.29%,22.37%,"$20.18M$20,176,182","$4,388,4482.49B",11.49B JCT
729,EclipseESBuy,$0.1514,0.06%,2.61%,11.16%,"$20.09M$20,086,887","$8,421,65755.61M",132.64M ES
730,MetadiumMETABuy,$0.01155,0.58%,0.68%,0.23%,"$19.96M$19,955,654","$347,67229.94M",1.72B META
731,MubarakMUBARAKBuy,$0.02003,1.01%,0.49%,4.07%,"$20.04M$20,035,583","$9,806,948489.09M",1B MUBARAK
732,Nasdaq tokenized ETF (xStock)QQQXBuy,$622.11,0.06%,1.72%,0.44%,"$20.03M$20,033,405","$4,181,0996.72K",32.2K QQQX
733,Inverse FinanceINVBuy,$27.54,0.36%,0.05%,6.79%,"$19.99M$19,990,835","$65,8832.39K",725.65K INV
734,Planet IX(formerly IX token)IXTBuy,$0.1518,0.67%,6.56%,26.77%,"$19.96M$19,963,102","$5,40935.61K",131.43M IXT
735,44Buy,$0.01991,1.21%,5.00%,19.65%,"$19.91M$19,913,079","$8,771,593440.49M",1B 4
736,Origin ProtocolOGNBuy,$0.02995,0.32%,0.55%,8.01%,"$19.8M$19,795,018","$2,869,86395.80M",660.81M OGN
737,Newton ProtocolNEWTBuy,$0.09156,0.62%,0.09%,9.88%,"$19.69M$19,687,266","$5,026,99854.89M",215M NEWT
738,Boba NetworkBOBABuy,$0.03977,0.20%,2.39%,5.44%,"$19.63M$19,634,581","$942,68523.66M",493.58M BOBA
739,Collector CryptCARDSBuy,$0.05140,2.13%,4.14%,33.78%,"$19.55M$19,547,889","$1,826,38735.43M",380.26M CARDS
740,aPrioriAPRBuy,$0.1056,0.10%,1.77%,17.66%,"$19.54M$19,537,153","$9,026,25085.47M",185M APR
741,NominaNOMBuy,$0.006734,0.62%,1.71%,14.60%,"$19.53M$19,529,248","$5,175,215768.49M",2.9B NOM
742,SolendSLNDBuy,$0.1951,0.01%,1.53%,2.27%,"$19.51M$19,514,273",--,100M SLND
743,Vanar ChainVANRYBuy,$0.008742,0.52%,2.73%,5.30%,"$19.45M$19,454,634","$3,512,845401.80M",2.22B VANRY
744,elizaOSELIZAOSBuy,$0.002593,2.00%,2.69%,14.43%,"$19.41M$19,407,454","$12,636,9034.87B",7.48B ELIZAOS
745,ElastosELABuy,$0.8410,0.01%,1.29%,14.91%,"$19.4M$19,397,497","$261,550310.99K",23.06M ELA
746,Graphite ProtocolGPBuy,$0.5584,0.21%,0.98%,7.15%,"$19.3M$19,297,015","$783,9041.40M",34.55M GP
747,GemsGEMSBuy,$0.03204,0.75%,0.36%,10.67%,"$19.19M$19,192,760","$720,79022.47M",598.86M GEMS
748,MetaMUIMMUIBuy,$0.04029,0.01%,0.06%,0.50%,"$19.19M$19,191,112","$479,85011.90M",476.24M MMUI
749,Naoris ProtocolNAORISBuy,$0.03252,3.63%,11.42%,10.35%,"$19.49M$19,488,211","$15,828,693494.99M",599.26M NAORIS
750,DentDENTBuy,$0.0001911,0.12%,0.54%,10.68%,"$19.12M$19,118,851","$1,827,0489.56B",99.99B DENT
751,PIVXPIVXBuy,$0.1915,0.56%,8.31%,32.26%,"$19.15M$19,145,968","$4,883,71425.58M",99.95M PIVX
752,Epic ChainEPICBuy,$0.5674,0.80%,0.15%,5.93%,"$19.07M$19,065,328","$4,301,9027.58M",33.6M EPIC
753,READY!READYBuy,$0.01895,0.21%,0.78%,11.93%,"$18.95M$18,950,986","$78,3854.13M",1B READY
754,Velodrome FinanceVELOBuy,$0.02068,1.08%,0.61%,12.39%,"$18.93M$18,926,966","$2,820,300136.30M",915.2M VELO
755,1 coin can change your life1Buy,$0.01857,3.78%,5.30%,2.59%,"$18.58M$18,575,900","$2,924,096157.52M",999.86M 1
756,CZ's DogBROCCOLIBuy,$0.01931,1.38%,1.87%,13.14%,"$18.75M$18,748,907","$15,760,687812.89M",970.45M BROCCOLI
757,BitlightLIGHTBuy,$0.4353,1.19%,0.07%,22.17%,"$18.75M$18,745,087","$3,973,9939.10M",43.05M LIGHT
758,IkaIKABuy,$0.006249,0.51%,4.97%,21.15%,"$18.75M$18,748,355","$11,784,9891.88B",3B IKA
759,Cookie DAOCOOKIEBuy,$0.02897,0.87%,1.88%,23.90%,"$18.78M$18,775,709","$3,001,498103.67M",647.94M COOKIE
760,Solv ProtocolSOLVBuy,$0.01260,0.74%,9.35%,2.28%,"$18.69M$18,691,446","$7,655,745607.56M",1.48B SOLV
761,BOB (Build on Bitcoin)BOBBuy,$0.008411,0.75%,3.86%,20.18%,"$18.67M$18,674,084","$4,687,273557.59M",2.22B BOB
762,RecallRECALLBuy,$0.08478,0.49%,5.34%,14.49%,"$18.65M$18,654,170","$3,314,73739.09M",220.02M RECALL
763,FLock.ioFLOCKBuy,$0.06979,1.01%,1.92%,22.00%,"$18.53M$18,529,958","$3,155,04745.16M",265.47M FLOCK
764,LimeWireLMWRBuy,$0.04199,0.64%,5.16%,12.99%,"$18.49M$18,491,475","$2,075,14349.41M",440.36M LMWR
765,MARBLEXMBXBuy,$0.06885,0.15%,0.79%,9.70%,"$18.45M$18,453,651","$429,5976.23M",268.01M MBX
766,PolySwarmNCTBuy,$0.009799,0.98%,1.58%,10.26%,"$18.48M$18,477,252","$997,104101.84M",1.88B NCT
767,SideShift TokenXAIBuy,$0.1277,0.07%,14.69%,14.43%,"$18.43M$18,432,624",--,144.29M XAI
768,StakeStoneSTOBuy,$0.08102,0.81%,7.84%,7.52%,"$18.26M$18,258,200","$26,665,141328.12M",225.33M STO
769,iShares 20+ Year Treasury Bond Tokenized ETF (Ondo)TLTonBuy,$89.35,0.03%,0.99%,0.94%,"$18.3M$18,295,886","$1,735,35719.42K",204.75K TLTon
770,Public Masterpiece TokenPMTBuy,$0.1116,0.14%,0.13%,1.05%,"$18.31M$18,307,354","$480,3604.31M",164.03M PMT
771,OKZOOAIOTBuy,$0.07199,0.12%,0.29%,14.03%,"$18.23M$18,231,755","$2,152,53229.94M",253.24M AIOT
772,Beta FinanceBETABuy,$0.01825,0.23%,15.13%,9.58%,"$18.26M$18,258,734","$33,2511.83M",1B BETA
773,KernelDAOKERNELBuy,$0.06295,0.74%,0.31%,14.98%,"$18.02M$18,023,700","$6,206,25798.58M",286.3M KERNEL
774,HashflowHFTBuy,$0.02618,1.10%,0.78%,7.34%,"$17.99M$17,985,498","$4,629,223176.61M",686.79M HFT
775,LOOKLOOKBuy,$0.01890,2.83%,2.27%,13.45%,"$17.44M$17,437,552","$334,38517.19M",922.37M LOOK
776,SharpSHARPBuy,$0.006670,0.18%,0.90%,6.82%,"$17.93M$17,926,529","$402,97260.40M",2.68B SHARP
777,PufferPUFFERBuy,$0.04811,0.00%,3.63%,15.21%,"$17.8M$17,800,290","$5,255,881109.23M",369.95M PUFFER
778,SUPERFORTUNEGUABuy,$0.1424,0.26%,0.96%,7.85%,"$17.81M$17,812,353","$16,114,593113.17M",125M GUA
779,Magma FinanceMAGMABuy,$0.09349,0.78%,0.21%,26.65%,"$17.76M$17,764,987","$2,375,61625.40M",190M MAGMA
780,SagaSAGABuy,$0.05144,0.94%,3.73%,11.80%,"$17.68M$17,677,969","$11,493,751223.06M",343.64M SAGA
781,Tesla Tokenized Stock (Ondo)TSLAonBuy,$447.41,0.22%,4.85%,1.18%,"$17.67M$17,665,821","$14,272,78131.93K",39.48K TSLAon
782,WazirXWRXBuy,$0.04620,0.21%,2.55%,6.45%,"$17.64M$17,642,018","$40,884885.28K",381.85M WRX
783,IXSIXSBuy,$0.09798,0.99%,3.55%,15.30%,"$17.64M$17,636,656","$158,4631.61M",180M IXS
784,EverscaleEVERBuy,$0.008838,0.42%,3.75%,9.47%,"$17.55M$17,548,965","$60,3776.82M",1.98B EVER
785,Bone ShibaSwapBONEBuy,$0.07612,0.53%,0.62%,13.87%,"$17.5M$17,503,883","$724,7489.52M",229.92M BONE
786,Hunt TownHUNTBuy,$0.1386,0.17%,0.77%,6.93%,"$17.49M$17,490,535","$113,327817.55K",126.16M HUNT
787,Torch of LibertyLIBERTYBuy,$0.01747,0.15%,1.50%,16.68%,"$17.48M$17,476,455","$730,25541.77M",1B LIBERTY
788,OG Fan TokenOGBuy,$3.84,0.67%,6.08%,7.08%,"$17.49M$17,493,840","$19,442,0625.07M",4.55M OG
789,RollXROLLBuy,$0.1131,3.76%,8.15%,13.18%,"$17.54M$17,536,082","$1,580,756,14114.04B",155M ROLL
790,CheckmateCHECKBuy,$0.08678,1.67%,14.13%,7.29%,"$17.43M$17,431,402","$8,878,044102.30M",200.86M CHECK
791,WibegramWIBEBuy,$0.8545,0.19%,1.00%,10.28%,"$17.42M$17,421,235","$579,056678.14K",20.38M WIBE
792,AlchemixALCXBuy,$6.93,0.32%,0.80%,8.86%,"$17.41M$17,410,146","$1,059,812153.37K",2.51M ALCX
793,Apu ApustajaAPUBuy,$0.00005099,1.10%,0.02%,19.46%,"$17.23M$17,229,693","$644,09012.61B",337.89B APU
794,SUPRASUPRABuy,$0.0007636,0.68%,4.31%,11.23%,"$17.11M$17,105,718","$952,3481.23B",22.4B SUPRA
795,MyNeighborAliceALICEBuy,$0.1718,1.71%,1.58%,1.47%,"$17.22M$17,221,105","$10,116,96058.83M",100.22M ALICE
796,ZircuitZRCBuy,$0.003671,1.51%,11.68%,12.90%,"$17.07M$17,070,970","$10,375,4362.80B",4.64B ZRC
797,RadworksRADBuy,$0.2904,0.84%,0.34%,4.54%,"$17.16M$17,157,506","$1,938,9816.67M",59.07M RAD
798,IntuitionTRUSTBuy,$0.09468,0.91%,1.74%,13.81%,"$17.01M$17,009,679","$4,179,14943.91M",179.64M TRUST
799,Yee TokenYEEBuy,$0.01696,2.64%,0.71%,27.18%,"$16.97M$16,967,067","$2,828,312166.30M",1B YEE
800,INFINITINBuy,$0.05849,0.33%,0.03%,13.54%,"$16.89M$16,885,358","$3,109,89753.03M",288.67M IN
801,FUNTokenFUNBuy,$0.001564,1.02%,1.85%,17.48%,"$16.91M$16,909,129","$12,800,2648.18B",10.8B FUN
802,INFINITINBuy,$0.05849,0.33%,0.03%,13.54%,"$16.89M$16,885,358","$3,109,89753.14M",288.67M IN
803,AlloraALLOBuy,$0.08415,1.53%,0.29%,16.09%,"$16.87M$16,873,802","$9,580,626113.84M",200.5M ALLO
804,Sleepless AIAIBuy,$0.03582,0.54%,0.58%,7.18%,"$16.87M$16,873,004","$4,414,911123.23M",470.99M AI
805,SaucerSwapSAUCEBuy,$0.01922,0.60%,0.86%,12.78%,"$16.81M$16,812,239","$67,5143.51M",874.28M SAUCE
806,SyscoinSYSBuy,$0.01980,0.27%,1.31%,2.49%,"$16.81M$16,810,949","$2,710,076136.86M",848.97M SYS
807,Solidus Ai TechAITECHBuy,$0.009558,0.75%,2.80%,9.95%,"$16.76M$16,759,002","$4,177,682437.04M",1.75B AITECH
808,ROGin AIROGBuy,$0.2501,0.14%,0.22%,1.80%,"$16.76M$16,756,660","$108,182432.49K",66.98M ROG
809,Argentine Football Association Fan TokenARGBuy,$1.07,0.04%,5.15%,3.33%,"$16.74M$16,743,316","$1,846,0771.72M",15.64M ARG
810,HighstreetHIGHBuy,$0.2135,0.81%,2.36%,2.21%,"$16.74M$16,735,358","$4,693,69821.98M",78.37M HIGH
811,TownsTOWNSBuy,$0.006162,0.77%,0.90%,9.94%,"$16.73M$16,731,300","$6,741,8381.09B",2.71B TOWNS
812,Ice Open NetworkICEBuy,$0.002527,0.08%,0.50%,3.77%,"$16.72M$16,721,751","$52,62720.81M",6.61B ICE
813,StarpowerSTARBuy,$0.08989,0.09%,1.86%,8.27%,"$16.71M$16,710,482","$111,463,7621.23B",185.87M STAR
814,SP500 tokenized ETF (xStock)SPYXBuy,$690.40,0.01%,1.42%,0.63%,"$16.67M$16,672,745","$4,527,2346.55K",24.14K SPYX
815,DIAMDIAMBuy,$0.008984,0.08%,0.26%,4.48%,"$16.52M$16,523,669","$305,53034.00M",1.83B DIAM
816,FreysaFAIBuy,$0.001999,0.15%,1.64%,10.69%,"$16.37M$16,372,672","$532,793264.96M",8.18B FAI
